ID	Type	Speed	UsageCost	Capacity	FuelCap
127	Motorcycle	170	22.48		
128	Motorcycle	132	20.73		
129	Motorcycle	154	24.8		
130	Motorcycle	103	30.15		
131	Motorcycle	119	15.21		
132	Motorcycle	134	28.88		
133	Motorcycle	147	17.53		
134	Motorcycle	114	16.33		
135	Motorcycle	180	16.38		
136	Motorcycle	169	28.07		
137	Motorcycle	111	26.49		
138	Motorcycle	116	29.34		
139	Motorcycle	140	22.09		
140	Motorcycle	150	28.81		
141	Motorcycle	179	24.1		
142	Motorcycle	116	19.7		
143	Motorcycle	129	18.23		
144	Motorcycle	152	28.95		
145	Motorcycle	158	22.86		
146	Motorcycle	178	29.29		
147	Motorcycle	103	17.8		
148	Motorcycle	144	22.43		
149	Motorcycle	137	28.65		
150	Motorcycle	164	24.07		
151	Motorcycle	175	19.89		
152	Motorcycle	165	27.58		
153	Motorcycle	138	24.02		
154	Motorcycle	100	24.92		
155	Motorcycle	122	27.08		
156	Motorcycle	107	24.52		
157	Motorcycle	143	29.58		
158	Motorcycle	159	17.52		
159	Motorcycle	158	16.42		
160	Motorcycle	168	16.11		
161	Motorcycle	130	17.04		
162	Motorcycle	151	29.52		
163	Motorcycle	121	30.08		
164	Motorcycle	125	26.59		
165	Motorcycle	173	28.48		
166	Motorcycle	154	23.88		
167	Motorcycle	164	15.43		
168	Motorcycle	161	17.54		
169	Motorcycle	148	23.58		
170	Motorcycle	137	15.37		
171	Motorcycle	125	26.16		
172	Motorcycle	124	19.59		
173	Motorcycle	143	22.64		
174	Motorcycle	163	22.67		
175	Motorcycle	143	29.5		
176	Motorcycle	117	21.84		
177	Motorcycle	169	28.21		
178	Motorcycle	153	30.54		
179	Motorcycle	168	26.32		
180	Motorcycle	101	16.74		
181	Motorcycle	107	19.99		
182	Motorcycle	100	27.35		
183	Motorcycle	168	16.49		
184	Motorcycle	131	15.91		
185	Motorcycle	150	30.54		
186	Motorcycle	166	23.25		
187	Motorcycle	144	30.59		
188	Motorcycle	102	30.77		
189	Motorcycle	102	29.26		
190	Motorcycle	104	22.37		
191	Motorcycle	116	22.38		
192	Motorcycle	163	18.1		
193	Motorcycle	138	30.15		
194	Motorcycle	123	22.43		
195	Motorcycle	135	19.45		
196	Motorcycle	134	18.17		
197	Motorcycle	132	25.49		
198	Motorcycle	148	21.85		
199	Motorcycle	122	26.8		
200	Motorcycle	113	23.88		
